Movie_Name,Director(s),Genre(s)
The Godfather 1972,Francis Ford Coppola,"Drama, Thriller, Crime"
Citizen Kane 1941,Orson Welles,"Drama, Mystery"
Rear Window 1954,Alfred Hitchcock,"Mystery, Thriller"
Casablanca 1943,Michael Curtiz,"Drama, Romance, War"
Boyhood 2014,Richard Linklater,Drama
Three Colors: Red 1994,Krzysztof Kieslowski,"Drama, Mystery, Romance"
Vertigo 1958,Alfred Hitchcock,"Mystery, Thriller, Romance"
Notorious 1946,Alfred Hitchcock,"Drama, Thriller, Romance, Film-Noir"
Singin' in the Rain 1952,"Gene Kelly, Stanley Donen","Comedy, Romance, Musical"
City Lights 1931,Charles Chaplin,"Drama, Comedy, Romance"
Moonlight 2016,Barry Jenkins,Drama
Intolerance 1916,D.W. Griffith,"Drama, History"
Pinocchio 1940,"Ben Sharpsteen, Bill Roberts, Hamilton Luske, Jack Kinney, Norman Ferguson, T. Hee, Wilfred Jackson","Fantasy, Comedy, Animation, Family, Musical"
Touch of Evil 1958,Orson Welles,"Drama, Thriller, Crime, Film-Noir"
Seven Samurai 1956,Akira Kurosawa,"Action, Adventure, Drama"
Au hasard Balthazar 1966,Robert Bresson,"Drama, Crime"
The Lady Vanishes 1938,Alfred Hitchcock,"Mystery, Thriller"
The Treasure of the Sierra Madre 1948,John Huston,"Adventure, Drama, Western"
Pan's Labyrinth 2006,Guillermo del Toro,"Drama, Mystery, Thriller, Fantasy, War"
Some Like It Hot 1959,Billy Wilder,"Comedy, Romance"
North by Northwest 1959,Alfred Hitchcock,"Action, Adventure, Mystery, Thriller"
Hoop Dreams 1994,Steve James,"Drama, Sport, Documentary"
Rashomon 1951,Akira Kurosawa,"Drama, Mystery, Crime"
All About Eve 1950,Joseph L. Mankiewicz,Drama
Jules and Jim 1962,François Truffaut,"Drama, Romance"
The Wild Bunch 1969,Sam Peckinpah,"Action, Adventure, Western"
My Left Foot 1989,Jim Sheridan,"Biography, Drama"
The Third Man 1949,Carol Reed,"Mystery, Thriller, Film-Noir"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 1964,Stanley Kubrick,"Thriller, Comedy"
"Quo Vadis, Aida? 2021",Jasmila Zbanic,"Drama, History, War"
Psycho 1960,Alfred Hitchcock,"Mystery, Thriller, Horror"
Gone with the Wind 1940,"George Cukor, Sam Wood, Victor Fleming","Drama, History, Romance, War"
"4 Months, 3 Weeks and 2 Days 2008",Cristian Mungiu,Drama
Battleship Potemkin 1926,Sergei M. Eisenstein,"Drama, History, Thriller, War"
A Streetcar Named Desire 1951,Elia Kazan,Drama
The Maltese Falcon 1941,John Huston,"Mystery, Film-Noir"
American Graffiti 1973,George Lucas,"Drama, Comedy"
Dumbo 1941,"Ben Sharpsteen, Bill Roberts, Jack Kinney, John Elliotte, Norman Ferguson, Samuel Armstrong, Wilfred Jackson","Drama, Animation, Family, Musical"
Roma 2018,Alfonso Cuarón,Drama
Man with a Movie Camera 1929,Dziga Vertov,"Music, Documentary"
Parasite 2019,Joon-ho Bong,"Drama, Thriller, Comedy"
Ran 1985,Akira Kurosawa,"Action, Drama, War"
